;Register address;Field;Type;Accuracy;Unit;Min;Max;Read/Write;Remarks;User;;;
;0461;Safety_Firmware_Version_Major;ASCII;;;;;R;"The major version number of the safety certification software.
The major version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.";End User;;;
;0462;Safety_Firmware_Version_Custom;ASCII;;;;;R;"Safety certification software non-standard customized version number.
The version number of the standard software is ""00"". The non-standard customized version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.";End User;;;
;0463;Safety_Firmware_Version_Minor;ASCII;;;;;R;"Safety certification software version number.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.";End User;;;
;0464;Safety_Hardware_Version0;ASCII;;;;;R;"Safety certification hardware version number 1st and 2nd.
The upper 8 bits of the register store the first bit of the serial number;
The lower 8 bits of the register store the second bit of the serial number.";End User;;;
;0465;Safety_Hardware_Version1;ASCII;;;;;R;"The 3rd and 4th digits of the hardware version number of safety certification.
The upper 8 bits of the register store the third bit of the serial number;
The lower 8 bits of the register store the 4th bit of the serial number.";End User;;;
;0466;;;;;;;;;;;;
;0467;;;;;;;;;;;;
;0468;;;;;;;;;;;;
;0469;;;;;;;;;;;;
;046A;;;;;;;;;;;;
;046B;;;;;;;;;;;;
;046C;;;;;;;;;;;;
;046D;;;;;;;;;;;;
;046E;;;;;;;;;;;;
;046F;;;;;;;;;;;;
;0470;Serial_Number8;ASCII;;;;;R;"The 17th and 18th digits of the serial number.
The upper 8 bits of the register store the 17th bit of the serial number;
The lower 8 bits of the register store the 18th bit of the serial number.";End User;;;
;0471;Serial_Number9;ASCII;;;;;R;"The 19th and 20th digits of the serial number.
The high 8 bits of the register store the 19th bit of the serial number;
The lower 8 bits of the register store the 20th bit of the serial number.";End User;;;
;0472;Serial_Number11_Rsvd0;ASCII;;;;;R;;;;;
;0473;Serial_Number11_Rsvd1;ASCII;;;;;R;;;;;
;0474;Serial_Number12_Rsvd2;ASCII;;;;;R;;;;;
;0475;Serial_Number13_Rsvd3;ASCII;;;;;R;;;;;
;0476;Serial_Number14_Rsvd4;ASCII;;;;;R;;;;;
;0477;;;;;;;;;;;;
;0478;;;;;;;;;;;;
;0479;;;;;;;;;;;;
;047A;;;;;;;;;;;;
;047B;;;;;;;;;;;;
;047C;;;;;;;;;;;;
;047D;;;;;;;;;;;;
;047E;;;;;;;;;;;;
;047F;;;;;;;;;;;;
;;;;;;;;;;;;;
On grid output (0x0480-0x04FF);;;;;;;;;;;;;
;0480;AddressMask_Realtime_GridOutput1;U64;;;;;R;"Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid.";End User;;;
;0481;;;;;;;;;;;;
;0482;;;;;;;;;;;;
;0483;;;;;;;;;;;;
;0484;Frequency_Grid;U16;0,01;Hz;;;R;Grid frequency;End User;;;
;0485;ActivePower_Output_Total;I16;0,01;kW;;;R;Total active power. Discharge is positive, charge is negative;End User;;;
;0486;ReactivePower_Output_Total;I16;0,01;kW;;;R;Total reactive power. The inverter end is positive for leading and negative for lagging;End User;;;
;0487;ApparentPower_Output_Total;I16;0,01;kW;;;R;Total apparent power. Discharge is positive, charge is negative;End User;;;
;0488;ActivePower_PCC_Total;I16;0,01;kW;;;R;Total PCC active power. Selling electricity is positive, buying electricity is negative;End User;;;
;0489;ReactivePower_PCC_Total;I16;0,01;kW;;;R;Total PCC reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;048A;ApparentPower_PCC_Total;I16;0,01;kW;;;R;Total PCC apparent power. Selling electricity is positive, buying electricity is negative;End User;;;
;048B;GridOutput_Rsvd1;;;;;;R;Grid-connected output reserved 1;End User;;;
;048C;GridOutput_Rsvd2;;;;;;R;Grid-connected output reserved 2;End User;;;
;048D;Voltage_Phase_R;U16;0,1;V;;;R;R phase grid voltage;End User;;;
;048E;Current_Output_R;U16;0,01;A;;;R;R-phase inverter output current;End User;;;
;048F;ActivePower_Output_R;I16;0,01;kW;;;R;The R-phase inverter outputs active power. Discharge is positive, charge is negative;End User;;;
;0490;ReactivePower_Output_R;I16;0,01;kW;;;R;The R-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;0491;PowerFactor_Output_R;I16;0,001;p.u.;;;R;R-phase power factor. The inverter end is positive for lead and negative for lag;End User;;;
;0492;Current_PCC_R;U16;0,01;A;;;R;R phase PCC current;End User;;;
;0493;ActivePower_PCC_R;I16;0,01;kW;;;R;R-phase PCC active power;End User;;;
;0494;ReactivePower_PCC_R;I16;0,01;kW;;;R;R-phase PCC reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;0495;PowerFactor_PCC_R;I16;0,001;p.u.;;;R;R-phase PCC power factor. The inverter end is positive for lead and negative for lag;End User;;;
;0496;R_Rsvd1;;;;;;R;R phase reserved 1;End User;;;
;0497;R_Rsvd2;;;;;;R;R phase reserved 2;End User;;;
;0498;Voltage_Phase_S;U16;0,1;V;;;R;S phase grid voltage;End User;;;
;0499;Current_Output_S;U16;0,01;A;;;R;S phase inverter output current;End User;;;
;049A;ActivePower_Output_S;I16;0,01;kW;;;R;The S-phase inverter outputs active power. Discharge is positive, charge is negative;End User;;;
;049B;ReactivePower_Output_S;I16;0,01;kW;;;R;The S-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;049C;PowerFactor_Output_S;I16;0,001;p.u.;;;R;S-phase power factor. The inverter end is positive for lead and negative for lag;End User;;;
;049D;Current_PCC_S;U16;0,01;A;;;R;S phase PCC current;End User;;;
;049E;ActivePower_PCC_S;I16;0,01;kW;;;R;S-phase PCC active power. Discharge is positive, charge is negative;End User;;;
;049F;ReactivePower_PCC_S;I16;0,01;kW;;;R;S-phase PCC reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;04A0;PowerFactor_PCC_S;I16;0,001;p.u.;;;R;S-phase PCC power factor. The inverter end is positive for lead and negative for lag;End User;;;
;04A1;S_Rsvd1;;;;;;R;S phase reserved 1;End User;;;
;04A2;S_Rsvd2;;;;;;R;S phase reserved 2;End User;;;
;04A3;Voltage_Phase_T;U16;0,1;V;;;R;T phase grid voltage;End User;;;
;04A4;Current_Output_T;U16;0,01;A;;;R;T-phase inverter output current;End User;;;
;04A5;ActivePower_Output_T;I16;0,01;kW;;;R;The T-phase inverter outputs active power. Discharge is positive, charge is negative;End User;;;
;04A6;ReactivePower_Output_T;I16;0,01;kW;;;R;The T-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;04A7;PowerFactor_Output_T;I16;0,001;p.u.;;;R;T-phase power factor. The inverter end is positive for lead and negative for lag;End User;;;
;04A8;Current_PCC_T;U16;0,01;A;;;R;T phase PCC current;End User;;;
;04A9;ActivePower_PCC_T;I16;0,01;kW;;;R;T-phase PCC active power. Discharge is positive, charge is negative;End User;;;
;04AA;ReactivePower_PCC_T;I16;0,01;kW;;;R;T-phase PCC reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;04AB;PowerFactor_PCC_T;I16;0,001;p.u.;;;R;T-phase PCC power factor. The inverter end is positive for lead and negative for lag;End User;;;
;04AC;T_Rsvd1;;;;;;R;T phase reserved 1;End User;;;
;04AD;T_Rsvd2;;;;;;R;T phase reserved 2;End User;;;
;04AE;ActivePower_PV_Ext;U16;0,01;kW;;;R;External power generation;End User;;;
;04AF;ActivePower_Load_Sys;U16;0,01;kW;;;R;System total load power;End User;;;
;04B0;Voltage_Phase_L1N;U16;0,1;V;;;R;Grid L1 to N voltage effective value;End User;;;
;04B1;Current_Output_L1N;U16;0,01;A;;;R;L1 output current effective value;End User;;;
;04B2;ActivePower_Output_L1N;I16;0,01;kW;;;R;Active power output on L1 line;End User;;;
i;04B3;Current_PCC_L1N;U16;0,01;A;;;R;Effective value of CT current on L1 line;End User;;;
;04B4;ActivePower_PCC_L1N;I16;0,01;kW;;;R;PCC active power on L1 line;End User;;;
;04B5;Voltage_Phase_L2N;U16;0,1;V;;;R;Grid L2 to N voltage effective value;End User;;;
;04B6;Current_Output_L2N;U16;0,01;A;;;R;L2 output current effective value;End User;;;
;04B7;ActivePower_Output_L2N;I16;0,01;kW;;;R;Active power output on L2 line;End User;;;
;04B8;Current_PCC_L2N;U16;0,01;A;;;R;Effective value of CT current on L2 line;End User;;;
;04B9;ActivePower_PCC_L2N;I16;0,01;kW;;;R;Active power output on L2 line;End User;;;
;04BA;Voltage_Line_L1;U16;0,1;V;;;R;L1 line voltage: voltage between R/S phase;End User;;;
;04BB;Voltage_Line_L2;U16;0,1;V;;;R;L2 line voltage: voltage between S/T phase;End User;;;
;04BC;Voltage_Line_L3;U16;0,1;V;;;R;L3 line voltage: voltage between T/R phase;End User;;;
;04BD;;;;;;;;;;;;
;04BE;;;;;;;;;;;;
;04BF;;;;;;;;;;;;
;04C0;;;;;;;;;;;;
;04C1;;;;;;;;;;;;
;04C2;;;;;;;;;;;;
;04C3;;;;;;;;;;;;
;04C4;;;;;;;;;;;;
;04C5;;;;;;;;;;;;
;04C6;;;;;;;;;;;;
;04C7;;;;;;;;;;;;
;04C8;;;;;;;;;;;;
;04C9;;;;;;;;;;;;
;04CA;;;;;;;;;;;;
;04CB;;;;;;;;;;;;
;04CC;;;;;;;;;;;;
;04CD;;;;;;;;;;;;
;04CE;;;;;;;;;;;;
;04CF;;;;;;;;;;;;
;04D0;;;;;;;;;;;;
;04D1;;;;;;;;;;;;
;04D2;;;;;;;;;;;;
;04D3;;;;;;;;;;;;
;04D4;;;;;;;;;;;;
;04D5;;;;;;;;;;;;
;04D6;;;;;;;;;;;;
;04D7;;;;;;;;;;;;
;04D8;;;;;;;;;;;;
;04D9;;;;;;;;;;;;
;04DA;;;;;;;;;;;;
;04DB;;;;;;;;;;;;
;04DC;;;;;;;;;;;;
;04DD;;;;;;;;;;;;
;04DE;;;;;;;;;;;;
;04DF;;;;;;;;;;;;
;04E0;;;;;;;;;;;;
;04E1;;;;;;;;;;;;
;04E2;;;;;;;;;;;;
;04E3;;;;;;;;;;;;
;04E4;;;;;;;;;;;;
;04E5;;;;;;;;;;;;
;04E6;;;;;;;;;;;;
;04E7;;;;;;;;;;;;
;04E8;;;;;;;;;;;;
;04E9;;;;;;;;;;;;
;04EA;;;;;;;;;;;;
;04EB;;;;;;;;;;;;
;04EC;;;;;;;;;;;;
;04ED;;;;;;;;;;;;
;04EE;;;;;;;;;;;;
;04EF;;;;;;;;;;;;
;04F0;;;;;;;;;;;;
;04F1;;;;;;;;;;;;
;04F2;;;;;;;;;;;;
;04F3;;;;;;;;;;;;
;04F4;;;;;;;;;;;;
;04F5;;;;;;;;;;;;
;04F6;;;;;;;;;;;;
;04F7;;;;;;;;;;;;
;04F8;;;;;;;;;;;;
;04F9;;;;;;;;;;;;
;04FA;;;;;;;;;;;;
;04FB;;;;;;;;;;;;
;04FC;;;;;;;;;;;;
;04FD;;;;;;;;;;;;
;04FE;;;;;;;;;;;;
;04FF;;;;;;;;;;;;
;;;;;;;;;;;;;
Off grid output (0x0500-0x057F);;;;;;;;;;;;;
;0500;AddressMask_Realtime_EmergencyOutput1;U64;;;;;R;"Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field plus 1 is located.
0 means invalid; 1 means valid";End User;;;
;0501;;;;;;;;;;;;
;0502;;;;;;;;;;;;
;0503;;;;;;;;;;;;
;0504;ActivePower_Load_Total;I16;0,01;kW;;;R;Load active power. ;End User;;;
;0505;ReactivePower_Load_Total;I16;0,01;kW;;;R;Load consumption is positive, and feedback is negative;End User;;;
;0506;ApparentPower_Load_Total;I16;0,01;kW;;;R;"Load reactive power
Apparent power of the load. Load consumption is positive, and feedback is negative";End User;;;
;0507;Frequency_Output;U16;0,01;Hz;;;R;Output voltage frequency;End User;;;
;0508;ESOutput_Rsvd1;;;;;;R;Off-grid total output reserved 1;End User;;;
;0509;ESOutput_Rsvd2;;;;;;R;Off-grid total output reserved 2;End User;;;
;050A;Voltage_Output_R;U16;0,1;V;;;R;R-phase inverter output voltage;End User;;;
;050B;Current_Load_R;I16;0,01;A;;;R;R phase load current;End User;;;
;050C;ActivePower_Load_R;I16;0,01;kW;;;R;R-phase load active power. Load consumption is positive, and feedback is negative.;End User;;;
;050D;ReactivePower_Load_R;I16;0,01;kW;;;R;R-phase load reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;050E;ApparentPower_Load_R;I16;0,01;kVA;;;R;Apparent power of R-phase load. Load consumption is positive, and feedback is negative.;End User;;;
;050F;LoadPeakRatio_R;U16;0,01;p.u.;;;R;R phase load peak ratio;End User;;;
;0510;ESR_Rsvd1;;;;;;R;R phase reserved 1;End User;;;
;0511;ESR_Rsvd2;;;;;;R;R phase reserved 2;End User;;;
;0512;Voltage_Output_S;U16;0,1;V;;;R;S phase inverter output voltage;End User;;;
;0513;Current_Load_S;I16;0,01;A;;;R;S phase load current;End User;;;
;0514;ActivePower_Load_S;I16;0,01;kW;;;R;S-phase load active power. Load consumption is positive, and feedback is negative.;End User;;;
;0515;ReactivePower_Load_S;I16;0,01;kW;;;R;S-phase load reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;0516;ApparentPower_Load_S;I16;0,01;kVA;;;R;Apparent power of S-phase load. Load consumption is positive, and feedback is negative.;End User;;;
;0517;LoadPeakRatio_S;U16;0,01;p.u.;;;R;S phase load peak ratio;End User;;;
;0518;ESS_Rsvd1;;;;;;R;S phase reserved 1;End User;;;
;0519;ESS_Rsvd2;;;;;;R;S phase reserved 2;End User;;;
;051A;Voltage_Output_T;U16;0,1;V;;;R;T-phase inverter output voltage;End User;;;
;051B;Current_Load_T;I16;0,01;A;;;R;T phase load current;End User;;;
;051C;ActivePower_Load_T;I16;0,01;kW;;;R;T-phase load active power. Load consumption is positive, and feedback is negative.;End User;;;
;051D;ReactivePower_Load_T;I16;0,01;kW;;;R;T-phase load reactive power. The inverter end is positive for lead and negative for lag;End User;;;
;051E;ApparentPower_Load_T;I16;0,01;kVA;;;R;Apparent power of T-phase load. Load consumption is positive, and feedback is negative.;End User;;;
;051F;LoadPeakRatio_T;U16;0,01;p.u.;;;R;T-phase load peak ratio;End User;;;
;0520;EST_Rsvd1;;;;;;R;T phase reserved 1;End User;;;
;0521;EST_Rsvd2;;;;;;R;T phase reserved 2;End User;;;
